timestamp,sequence,bid_px_00,bid_sz_00,bid_px_01,bid_sz_01,bid_px_02,bid_sz_02,bid_px_03,bid_sz_03,bid_px_04,bid_sz_04,bid_px_05,bid_sz_05,bid_px_06,bid_sz_06,bid_px_07,bid_sz_07,bid_px_08,bid_sz_08,bid_px_09,bid_sz_09,ask_px_00,ask_sz_00,ask_px_01,ask_sz_01,ask_px_02,ask_sz_02,ask_px_03,ask_sz_03,ask_px_04,ask_sz_04,ask_px_05,ask_sz_05,ask_px_06,ask_sz_06,ask_px_07,ask_sz_07,ask_px_08,ask_sz_08,ask_px_09,ask_sz_09
2025-07-17T08:05:03.360677248Z,851012,5.51,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17T08:05:03.360683462Z,851013,5.51,100,,,,,,,,,,,,,,,,,,,21.33,100,,,,,,,,,,,,,,,,,,
2025-07-17T08:05:03.361327319Z,851022,5.90,100,5.51,100,,,,,,,,,,,,,,,,,21.33,100,,,,,,,,,,,,,,,,,,
2025-07-17T08:05:03.361332576Z,851023,5.90,100,5.51,100,,,,,,,,,,,,,,,,,20.94,100,21.33,100,,,,,,,,,,,,,,,,
2025-07-17T08:09:48.860696464Z,1289631,5.90,100,,,,,,,,,,,,,,,,,,,20.94,100,21.33,100,,,,,,,,,,,,,,,,
2025-07-17T08:09:48.860705588Z,1289632,5.90,100,5.37,100,,,,,,,,,,,,,,,,,20.94,100,21.33,100,,,,,,,,,,,,,,,,
2025-07-17T08:09:49.157896784Z,1290626,5.37,100,,,,,,,,,,,,,,,,,,,20.94,100,21.33,100,,,,,,,,,,,,,,,,
2025-07-17T08:09:49.157903443Z,1290627,5.40,100,5.37,100,,,,,,,,,,,,,,,,,20.94,100,21.33,100,,,,,,,,,,,,,,,,
2025-07-17T08:09:49.157903798Z,1290628,5.40,100,5.37,100,,,,,,,,,,,,,,,,,21.33,100,,,,,,,,,,,,,,,,,,
2025-07-17T08:09:49.157909054Z,1290629,5.40,100,5.37,100,,,,,,,,,,,,,,,,,21.33,100,21.47,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:00.125174985Z,10583317,5.40,100,,,,,,,,,,,,,,,,,,,21.33,100,21.47,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:00.125182048Z,10583320,9.79,100,5.40,100,,,,,,,,,,,,,,,,,21.33,100,21.47,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:00.125454029Z,10583363,9.79,100,,,,,,,,,,,,,,,,,,,21.33,100,21.47,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:00.125460962Z,10583364,9.84,100,9.79,100,,,,,,,,,,,,,,,,,21.33,100,21.47,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:07.975824831Z,10674471,9.84,100,9.79,100,,,,,,,,,,,,,,,,,21.47,100,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:07.975837956Z,10674472,9.84,100,9.79,100,,,,,,,,,,,,,,,,,17.44,100,21.47,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:07.975972618Z,10674473,9.84,100,9.79,100,,,,,,,,,,,,,,,,,17.44,100,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:07.975979367Z,10674474,9.84,100,9.79,100,,,,,,,,,,,,,,,,,17.36,100,17.44,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.254975294Z,10676310,9.84,100,9.79,100,,,,,,,,,,,,,,,,,17.36,100,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.254985173Z,10676311,9.84,100,9.79,100,,,,,,,,,,,,,,,,,17.36,100,18.92,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.255147130Z,10676314,9.84,100,9.79,100,,,,,,,,,,,,,,,,,18.92,100,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.255155317Z,10676315,9.84,100,9.79,100,,,,,,,,,,,,,,,,,18.84,100,18.92,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.255862656Z,10676320,9.84,100,9.79,100,,,,,,,,,,,,,,,,,18.84,100,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.255871843Z,10676321,9.84,100,9.79,100,,,,,,,,,,,,,,,,,18.84,100,20.62,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.256168895Z,10676324,9.84,100,9.79,100,,,,,,,,,,,,,,,,,20.62,100,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.256175346Z,10676325,9.84,100,9.79,100,,,,,,,,,,,,,,,,,20.53,100,20.62,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.256885010Z,10676333,9.84,100,9.79,100,,,,,,,,,,,,,,,,,20.53,100,,,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.256892686Z,10676334,9.84,100,9.79,100,,,,,,,,,,,,,,,,,20.53,100,21.47,100,,,,,,,,,,,,,,,,
2025-07-17T11:00:08.257069458Z,10676335,9.84,100,9.79,100,,,,,,,,,,,,,,,,,21.47,100,,,,,,,,,,,,,,,,,,
